date,coin,price,signal,prob_up,prob_down,kelly_pct,confidence,mtf_score,fear_greed,fg_label,funding,btc_dom
2026-04-05,BTC,66780.47,BUY / HOLD,61.6,38.4,11.5,Moderate,0,12,Extreme Fear,0.0038120000000000003,56.29825198530075
2026-04-05,ETH,2027.19,BUY / HOLD,56.2,43.8,0.0,Moderate,0,12,Extreme Fear,0.0038120000000000003,56.29825198530075
2026-04-05,SOL,78.91,STAY OUT,39.5,60.5,0.0,Moderate (bearish),0,12,Extreme Fear,0.0038120000000000003,56.29825198530075
2026-04-05,BTC,67354.6,SKIP — low confidence,53.1,46.9,0.0,Too weak to act,2,12,Extreme Fear,0.001889,56.316667344384044
2026-04-05,ETH,2058.72,STAY OUT,37.4,62.6,0.0,Moderate (bearish),1,12,Extreme Fear,0.001889,56.316667344384044
2026-04-05,SOL,79.83,STAY OUT,38.5,61.5,0.0,Moderate (bearish),0,12,Extreme Fear,0.001889,56.316667344384044
2026-04-05,BTC,67447.1,SKIP — low confidence,52.4,47.6,0.0,Too weak to act,2,12,Extreme Fear,0.001889,56.327926202223225
2026-04-05,ETH,2064.52,STAY OUT,33.9,66.1,0.0,Strong (bearish),1,12,Extreme Fear,0.001889,56.327926202223225
2026-04-05,SOL,80.03,STAY OUT,38.5,61.5,0.0,Moderate (bearish),0,12,Extreme Fear,0.001889,56.327926202223225
2026-04-05,BTC,67423.98,STAY OUT,43.3,56.7,0.0,Moderate (bearish),2,12,Extreme Fear,0.001889,56.31769868995063
2026-04-05,ETH,2064.98,BUY / HOLD,55.2,44.8,8.7,Moderate,1,12,Extreme Fear,0.001889,56.31769868995063
2026-04-05,SOL,79.91,BUY / HOLD,74.5,25.5,25.0,Strong,0,12,Extreme Fear,0.001889,56.31769868995063
2026-04-06,BTC,69528.29,STAY OUT,17.3,82.7,0.0,Strong (bearish),2,13,Extreme Fear,0.00042300000000000004,56.640480445600005
2026-04-06,ETH,2135.02,STAY OUT,5.6,94.4,0.0,Strong (bearish),3,13,Extreme Fear,0.00042300000000000004,56.640480445600005
2026-04-06,SOL,81.61,SKIP — low confidence,50.4,49.6,0.0,Too weak to act,2,13,Extreme Fear,0.00042300000000000004,56.640480445600005
2026-04-06,BTC,69666.3,STAY OUT,17.3,82.7,0.0,Strong (bearish),2,13,Extreme Fear,0.00042300000000000004,56.71191226222637
2026-04-06,ETH,2142.41,STAY OUT,8.1,91.9,0.0,Strong (bearish),3,13,Extreme Fear,0.00042300000000000004,56.71191226222637
2026-04-06,SOL,81.96,SKIP — low confidence,50.4,49.6,0.0,Too weak to act,2,13,Extreme Fear,0.00042300000000000004,56.71191226222637
2026-04-06,BTC,69688.13,STAY OUT,17.3,82.7,0.0,Strong (bearish),2,13,Extreme Fear,0.00042300000000000004,56.68929904866633
2026-04-06,ETH,2143.7,STAY OUT,8.1,91.9,0.0,Strong (bearish),3,13,Extreme Fear,0.00042300000000000004,56.68929904866633
2026-04-06,SOL,82.0,SKIP — low confidence,50.4,49.6,0.0,Too weak to act,2,13,Extreme Fear,0.00042300000000000004,56.68929904866633
2026-04-08,BTC,71854.09375,STAY OUT,17.3,82.7,0.0,Strong (bearish),3,17,Extreme Fear,,56.777614581275195
2026-04-08,ETH,2257.62841796875,STAY OUT,14.9,85.1,0.0,Strong (bearish),3,17,Extreme Fear,,56.777614581275195
2026-04-08,SOL,84.87553405761719,STAY OUT,35.3,64.7,0.0,Moderate (bearish),2,17,Extreme Fear,,56.777614581275195
2026-04-08,BTC,71799.296875,STAY OUT,17.3,82.7,0.0,Strong (bearish),3,17,Extreme Fear,,56.95887787638307
2026-04-08,ETH,2231.3984375,STAY OUT,3.9,96.1,0.0,Strong (bearish),3,17,Extreme Fear,,56.95887787638307
2026-04-08,SOL,83.90385437011719,STAY OUT,35.3,64.7,0.0,Moderate (bearish),2,17,Extreme Fear,,56.95887787638307
2026-04-09,BTC,70941.953125,STAY OUT,43.3,56.7,0.0,Moderate (bearish),2,14,Extreme Fear,,56.99248524566587
2026-04-09,ETH,2180.15283203125,SKIP — low confidence,45.6,54.4,0.0,Too weak to act,2,14,Extreme Fear,,56.99248524566587
2026-04-09,SOL,82.03402709960938,BUY / HOLD,74.5,25.5,25.0,Strong,1,14,Extreme Fear,,56.99248524566587
2026-04-09,BTC,71333.1796875,STAY OUT,43.3,56.7,0.0,Moderate (bearish),3,14,Extreme Fear,,57.063830909457394
2026-04-09,ETH,2187.07666015625,SKIP — low confidence,45.6,54.4,0.0,Too weak to act,2,14,Extreme Fear,,57.063830909457394
2026-04-09,SOL,82.2871322631836,BUY / HOLD,74.5,25.5,25.0,Strong,1,14,Extreme Fear,,57.063830909457394
2026-04-09,BTC,72296.53125,STAY OUT,43.3,56.7,0.0,Moderate (bearish),3,14,Extreme Fear,,57.15739914662863
2026-04-09,ETH,2216.986083984375,STAY OUT,39.3,60.7,0.0,Moderate (bearish),3,14,Extreme Fear,,57.15739914662863
2026-04-09,SOL,84.10505676269531,BUY / HOLD,74.5,25.5,25.0,Strong,2,14,Extreme Fear,,57.15739914662863
2026-04-10,BTC,71935.421875,STAY OUT,16.7,83.3,0.0,Strong (bearish),3,16,Extreme Fear,,57.19242515603168
2026-04-10,ETH,2187.38427734375,STAY OUT,3.9,96.1,0.0,Strong (bearish),2,16,Extreme Fear,,57.19242515603168
2026-04-10,SOL,82.99813842773438,STAY OUT,35.3,64.7,0.0,Moderate (bearish),2,16,Extreme Fear,,57.19242515603168
2026-04-10,BTC,71799.0859375,STAY OUT,43.3,56.7,0.0,Moderate (bearish),3,16,Extreme Fear,,57.121205325859314
2026-04-10,ETH,2193.56591796875,STAY OUT,3.9,96.1,0.0,Strong (bearish),2,16,Extreme Fear,,57.121205325859314
2026-04-10,SOL,83.39985656738281,STAY OUT,35.3,64.7,0.0,Moderate (bearish),1,16,Extreme Fear,,57.121205325859314
2026-04-10,BTC,72945.140625,STAY OUT,30.4,69.6,0.0,Strong (bearish),3,16,Extreme Fear,,57.25191611207136
2026-04-10,ETH,2245.02880859375,STAY OUT,3.9,96.1,0.0,Strong (bearish),3,16,Extreme Fear,,57.25191611207136
2026-04-10,SOL,84.8246078491211,STAY OUT,35.3,64.7,0.0,Moderate (bearish),2,16,Extreme Fear,,57.25191611207136
